Point,up_downstream,Dist,WellNo,x,y,DistSign,EC_1389_before_drainge_depth50_100cm_tir,EC_1389_before_drainge_depth_200_250cm_tir,EC_1391_after_drainge_depth__50_100cm_tir,cl_before_1389_tir,na_before_1389_tir,cl_after_1391_tir,na_after_1391_tir,SAR89_before_50-100cm_tir,SAR89_before_200-250cm_tir,SAR91_after_50-100cm_tir,watlevel_aban89,watlevel_aban90,watlevel_aban91,watlevel_aban92
A,U,1000,A-U7,438013.2,3976294.9,1000,81.56,92.44,-,-,-,-,-,123.1,116.2,-,184,135,173,169
A,U,500,A-U6,438479.4,3976114.3,500,90.67,122,-,-,-,-,-,131.2,148.6,-,190,141,178,182
A,U,250,A-U5,438712.5,3976023.9,250,63.78,107.8,-,-,-,-,-,99,144,-,183,114,171,195
A,U,100,A-U4,438852.4,3975969.7,100,75.05,107.6,-,-,-,-,-,114,155,-,198,120,194,210
A,U,50,A-U3,438899,3975951.6,50,70.2,93.64,-,-,-,-,-,148,131,-,191,133,183,210
A,U,25,A-U2,438922.3,3975942.6,25,77.08,91.86,-,-,-,-,-,120,144,-,239,192,217,230
A,U,10,A-U1,438936.3,3975937.2,10,87.5,105.4,-,-,-,-,-,111,129,-,217,185,223,241
A,mid,0,A,438945.7,3975933.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A,D,10,A-D1,438955,3975930,-10,77.11,98.08,-,-,-,-,-,138.7,139.4,-,218,235,219,225
A,D,25,A-D2,438969,3975924.5,-25,88.75,98.93,-,-,-,-,-,119.5,140,-,214,204,200,203
A,D,50,A-D3,438992.3,3975915.5,-50,64.8,106.5,-,-,-,-,-,106.8,145.2,-,218,202,206,217
A,D,250,A-D4,439178.8,3975843.2,-250,64.24,89.1,-,-,-,-,-,101,133.6,-,180,136,181,183
B,U,1000,B-U7,438784.9,3978298.5,1000,96.77,96.91,-,-,-,-,-,107.9,107.9,-,153,163,144,134
B,U,500,B-U6,439251.1,3978117.9,500,87.15,100.2,-,-,-,-,-,104.3,112.8,-,146,163,145,151
B,U,250,B-U5,439484.2,3978027.5,250,-,-,-,-,-,-,-,119,120,-,170,183,173,191
B,U,100,B-U4,439624.1,3977973.3,100,82,102.8,-,-,-,-,-,110,120,-,153,195,192,217
B,U,50,B-U3,439670.7,3977955.2,50,42.28,89.92,-,-,-,-,-,75,113,-,195,207,195,210
B,U,25,B-U2,439694,3977946.2,25,31.95,69.08,-,-,-,-,-,57,79,-,219,239,223,217
B,U,10,B-U1,439708,3977940.8,10,60.5,76.95,-,-,-,-,-,91,124,-,200,245,222,230
B,mid,0,B,439717.3,3977937.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B,D,10,B-D1,439726.7,3977933.6,-10,83.26,93.23,-,-,-,-,-,92.7,114.5,-,241,253,254,258
B,D,25,B-D2,439740.6,3977928.1,-25,78.11,97.22,-,-,-,-,-,100.2,119.9,-,227,240,242,250
B,D,50,B-D3,439764,3977919.1,-50,51.14,105.1,-,-,-,-,-,83.3,124.3,-,204,220,220,230
B,D,250,B-D4,439950.4,3977846.8,-250,95.71,108.6,-,-,-,-,-,123.9,132.1,-,172,185,180,198
C,U,1000,C-U7,440709.3,3979970.7,1000,83.02,108.2,-,-,-,-,-,101,114.3,-,156,164,177,231
C,U,500,C-U6,440687.1,3979471.2,500,40.31,98.95,-,-,-,-,-,65.5,125.1,-,158,167,200,239
C,U,250,C-U5,440676.1,3979221.4,250,-,-,-,-,-,-,-,94,119,-,171,186,202,247
C,U,100,C-U4,440669.5,3979071.5,100,93.5,101.3,-,-,-,-,-,132,132,-,210,207,217,252
C,U,50,C-U3,440667.2,3979021.6,50,30.8,92.3,-,-,-,-,-,59,109,-,230,250,241,264
C,U,25,C-U2,440666.1,3978996.6,25,15.34,87.33,-,-,-,-,-,33,116,-,238,255,246,263
C,U,10,C-U1,440665.5,3978981.6,10,70.87,102.1,-,-,-,-,-,114,123,-,260,268,278,285
C,mid,0,C,440665,3978971.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C,D,10,C-D1,440664.6,3978961.7,-10,73.74,97.12,-,-,-,-,-,113.5,122.5,-,234,258,256,261
C,D,25,C-D2,440663.9,3978946.7,-25,75.16,90.88,-,-,-,-,-,114.8,118.8,-,240,251,247,260
C,D,50,C-D3,440662.8,3978921.7,-50,76.13,103.8,-,-,-,-,-,100,127.6,-,228,238,239,254
C,D,250,C-D4,440654,3978721.9,-250,96.72,104.1,-,-,-,-,-,153.8,129.5,-,173,183,188,216
D,U,1000,D-U7,442847.1,3979326.8,1000,107.2,115.7,-,-,-,-,-,90.5,106.4,-,180,157,125,129
D,U,500,D-U6,443088.9,3978889.1,500,111.6,109,-,-,-,-,-,121.2,107,-,158,153,123,132
D,U,250,D-U5,443209.7,3978670.3,250,-,-,-,-,-,-,-,101,106,-,160,162,135,128
D,U,100,D-U4,443282.3,3978539,100,109.4,135,98.8,1350,1150,1300,1150,99,116,93,172,210,141,136
D,U,50,D-U3,443306.4,3978495.2,50,102.2,115.4,-,-,-,-,-,116,105,-,200,203,182,185
D,U,25,D-U2,443318.5,3978473.3,25,80.22,112.5,-,-,-,-,-,82,113,-,222,225,203,210
D,U,10,D-U1,443325.8,3978460.2,10,73.74,97.12,83.1,1350,1000,1098,950,91,117,84,220,230,215,222
D,mid,0,D,443330.6,3978451.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D,D,10,D-D1,443335.5,3978442.7,-10,85.21,103.3,-,-,-,-,-,153.8,112,-,234,332,265,256
